id	batch	condition	fastq1	fastq2	
					
					
					
					
					
					
					
					
					
					
UPI_T2DSyst_063	UPI	ND_T2D	UPI_T2DSyst_063_clean_R1.fq.gz	UPI_T2DSyst_063_clean_R2.fq.gz	
UPI_T2DSyst_066	UPI	ND_T2D	UPI_T2DSyst_066_clean_R1.fq.gz	UPI_T2DSyst_066_clean_R2.fq.gz	
UPI_T2DSyst_067	UPI	ND_T2D	UPI_T2DSyst_067_clean_R1.fq.gz	UPI_T2DSyst_067_clean_R2.fq.gz	
UPI_T2DSyst_068	UPI	ND_T2D	UPI_T2DSyst_068_clean_R1.fq.gz	UPI_T2DSyst_068_clean_R2.fq.gz	
UPI_T2DSyst_069	UPI	ND_T2D	UPI_T2DSyst_069_clean_R1.fq.gz	UPI_T2DSyst_069_clean_R2.fq.gz	
UPI_T2DSyst_071	UPI	ND_T2D	UPI_T2DSyst_071_clean_R1.fq.gz	UPI_T2DSyst_071_clean_R2.fq.gz	
UPI_T2DSyst_072	UPI	ND_T2D	UPI_T2DSyst_072_clean_R1.fq.gz	UPI_T2DSyst_072_clean_R2.fq.gz	
UPI_T2DSyst_074	UPI	ND_T2D	UPI_T2DSyst_074_clean_R1.fq.gz	UPI_T2DSyst_074_clean_R2.fq.gz	
UPI_T2DSyst_076	UPI	ND_T2D	UPI_T2DSyst_076_clean_R1.fq.gz	UPI_T2DSyst_076_clean_R2.fq.gz	
UPI_T2DSyst_082	UPI	ND_T2D	UPI_T2DSyst_082_clean_R1.fq.gz	UPI_T2DSyst_082_clean_R2.fq.gz	
UPI_T2DSyst_084	UPI	ND_T2D	UPI_T2DSyst_084_clean_R1.fq.gz	UPI_T2DSyst_084_clean_R2.fq.gz	
UPI_T2DSyst_085	UPI	ND_T2D	UPI_T2DSyst_085_clean_R1.fq.gz	UPI_T2DSyst_085_clean_R2.fq.gz	
UPI_T2DSyst_086	UPI	ND_T2D	UPI_T2DSyst_086_clean_R1.fq.gz	UPI_T2DSyst_086_clean_R2.fq.gz	
UPI_T2DSyst_088	UPI	ND_T2D	UPI_T2DSyst_088_clean_R1.fq.gz	UPI_T2DSyst_088_clean_R2.fq.gz	
UPI_T2DSyst_090	UPI	ND_T2D	UPI_T2DSyst_090_clean_R1.fq.gz	UPI_T2DSyst_090_clean_R2.fq.gz	
UPI_T2DSyst_091	UPI	ND_T2D	UPI_T2DSyst_091_clean_R1.fq.gz	UPI_T2DSyst_091_clean_R2.fq.gz	
UPI_T2DSyst_094	UPI	ND_T2D	UPI_T2DSyst_094_clean_R1.fq.gz	UPI_T2DSyst_094_clean_R2.fq.gz	
UPI_T2DSyst_095	UPI	ND_T2D	UPI_T2DSyst_095_clean_R1.fq.gz	UPI_T2DSyst_095_clean_R2.fq.gz	
UPI_T2DSyst_096	UPI	ND_T2D	UPI_T2DSyst_096_clean_R1.fq.gz	UPI_T2DSyst_096_clean_R2.fq.gz	
UPI_T2DSyst_097	UPI	ND_T2D	UPI_T2DSyst_097_clean_R1.fq.gz	UPI_T2DSyst_097_clean_R2.fq.gz	
